Starting PPO training: 5000000 steps | obs_mode=v2 (obs_size=924) | rollout=512 steps | num_envs=8 | device=mps | opponent=selfplay=0.5,damagefirst=0.3,random=0.2 (pool: models/ppo/checkpoints/v2) | checkpoint every 250000 steps
Step 183355/5000000 | Win rate (rollout): 0.54 | Loss: 0.037
Step 183867/5000000 | Win rate (rollout): 0.50 | Loss: 0.015
Step 184379/5000000 | Win rate (rollout): 0.45 | Loss: 0.030
Step 184894/5000000 | Win rate (rollout): 0.33 | Loss: 0.012
Step 185412/5000000 | Win rate (rollout): 0.50 | Loss: 0.028
Step 185924/5000000 | Win rate (rollout): 0.38 | Loss: 0.046
Step 186439/5000000 | Win rate (rollout): 0.22 | Loss: 0.046
Step 186951/5000000 | Win rate (rollout): 0.58 | Loss: 0.043
Step 187469/5000000 | Win rate (rollout): 0.43 | Loss: 0.022
Step 187987/5000000 | Win rate (rollout): 0.50 | Loss: 0.050
Step 188499/5000000 | Win rate (rollout): 0.30 | Loss: 0.041
Step 189012/5000000 | Win rate (rollout): 0.36 | Loss: 0.017
Step 189528/5000000 | Win rate (rollout): 0.36 | Loss: 0.011
Step 190040/5000000 | Win rate (rollout): 0.38 | Loss: 0.010
Step 190552/5000000 | Win rate (rollout): 0.22 | Loss: 0.020
Step 191068/5000000 | Win rate (rollout): 0.33 | Loss: 0.077
Step 191583/5000000 | Win rate (rollout): 0.38 | Loss: 0.015
Step 192095/5000000 | Win rate (rollout): 0.75 | Loss: 0.004
Step 192607/5000000 | Win rate (rollout): 0.58 | Loss: 0.049
Step 193119/5000000 | Win rate (rollout): 0.60 | Loss: 0.013
Step 193633/5000000 | Win rate (rollout): 0.60 | Loss: 0.064
Step 194145/5000000 | Win rate (rollout): 0.31 | Loss: 0.025
Step 194658/5000000 | Win rate (rollout): 0.57 | Loss: 0.062
Step 195170/5000000 | Win rate (rollout): 0.75 | Loss: 0.007
Step 195682/5000000 | Win rate (rollout): 0.25 | Loss: 0.020
Step 196198/5000000 | Win rate (rollout): 0.38 | Loss: -0.016
Step 196710/5000000 | Win rate (rollout): 0.21 | Loss: 0.017
